home,away,score,loc,year
Switzerland , Italy,2–1,"Stade Olympique de la Pontaise, Lausanne",1954
England , Belgium,4–4 (a.e.t.),"St. Jakob Stadium, Basel",1954
Italy , Belgium,4–1,"Cornaredo Stadium, Lugano",1954
England , Switzerland,2–0,"Wankdorf Stadium, Bern",1954
Switzerland , Italy,4–1,"St. Jakob Stadium, Basel",1954
Austria , Switzerland,7–5,"Stade Olympique de la Pontaise, Lausanne",1954
Uruguay , England,4–2,"St. Jakob Stadium, Basel",1954
West Germany , Yugoslavia,2–0,"Charmilles Stadium, Geneva",1954
Hungary , Brazil,4–2,"Wankdorf Stadium, Bern",1954
West Germany , Austria,6–1,"St. Jakob Stadium, Basel",1954
Hungary , Uruguay,4–2 (a.e.t.),"Stade Olympique de la Pontaise, Lausanne",1954
Austria , Uruguay,3–1,"Hardturm Stadium, Zürich",1954
West Germany , Hungary,3–2,"Wankdorf Stadium, Bern",1954
Argentina , West Germany,1–3,"Malmö Stadion, Malmö",1958
Northern Ireland , Czechoslovakia,1–0,"Örjans Vall, Halmstad",1958
West Germany , Czechoslovakia,2–2,"Olympiastadion, Helsingborg",1958
Argentina , Northern Ireland,3–1,"Örjans Vall, Halmstad",1958
West Germany , Northern Ireland,2–2,"Malmö Stadion, Malmö",1958
Czechoslovakia , Argentina,6–1,"Olympiastadion, Helsingborg",1958
Northern Ireland , Czechoslovakia,2–1 (a.e.t.),"Malmö Stadion, Malmö",1958
France , Paraguay,7–3,"Idrottsparken, Norrköping",1958
Yugoslavia , Scotland,1–1,"Arosvallen, Västerås",1958
Yugoslavia , France,3–2,"Arosvallen, Västerås",1958
Paraguay , Scotland,3–2,"Idrottsparken, Norrköping",1958
France , Scotland,2–1,"Eyravallen, Örebro",1958
Paraguay , Yugoslavia,3–3,"Tunavallen, Eskilstuna",1958
Sweden , Mexico,3–0,"Råsunda Stadium, Solna",1958
Hungary , Wales,1–1,"Jernvallen, Sandviken",1958
Mexico , Wales,1–1,"Råsunda Stadium, Solna",1958
Sweden , Hungary,2–1,"Råsunda Stadium, Solna",1958
Sweden , Wales,0–0,"Råsunda Stadium, Solna",1958
Hungary , Mexico,4–0,"Jernvallen, Sandviken",1958
Wales , Hungary,2–1,"Råsunda Stadium, Solna",1958
Brazil , Austria,3–0,"Rimnersvallen, Uddevalla",1958
Soviet Union , England,2–2,"Ullevi, Gothenburg",1958
