home,away,score,loc,year
Ivory Coast , Portugal,0–0,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
Brazil , North Korea,2–1,"Ellis Park Stadium, Johannesburg",2010
Brazil , Ivory Coast,3–1,"Soccer City, Johannesburg",2010
Portugal , North Korea,7–0,"Cape Town Stadium, Cape Town",2010
Portugal , Brazil,0–0,"Moses Mabhida Stadium, Durban",2010
North Korea , Ivory Coast,0–3,"Mbombela Stadium, Nelspruit",2010
Honduras , Chile,0–1,"Mbombela Stadium, Nelspruit",2010
Spain , Switzerland,0–1,"Moses Mabhida Stadium, Durban",2010
Chile , Switzerland,1–0,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
Spain , Honduras,2–0,"Ellis Park Stadium, Johannesburg",2010
Chile , Spain,1–2,"Loftus Versfeld Stadium, Pretoria",2010
Switzerland , Honduras,0–0,"Free State Stadium, Bloemfontein",2010
Uruguay , South Korea,2–1,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
United States , Ghana,1–2 (a.e.t.),"Royal Bafokeng Stadium, Rustenburg",2010
Germany , England,4–1,"Free State Stadium, Bloemfontein",2010
Argentina , Mexico,3–1,"Soccer City, Johannesburg",2010
Netherlands , Slovakia,2–1,"Moses Mabhida Stadium, Durban",2010
Brazil , Chile,3–0,"Ellis Park Stadium, Johannesburg",2010
Paraguay , Japan,0–0 (a.e.t.),"Loftus Versfeld Stadium, Pretoria",2010
Spain , Portugal,1–0,"Cape Town Stadium, Cape Town",2010
Netherlands , Brazil,2–1,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
Uruguay , Ghana,1–1 (a.e.t.),"Soccer City, Johannesburg",2010
Argentina , Germany,0–4,"Cape Town Stadium, Cape Town",2010
Paraguay , Spain,0–1,"Ellis Park Stadium, Johannesburg",2010
Uruguay , Netherlands,2–3,"Cape Town Stadium, Cape Town",2010
Germany , Spain,0–1,"Moses Mabhida Stadium, Durban",2010
Uruguay , Germany,2–3,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
Netherlands , Spain,0–1 (a.e.t.),"Soccer City, Johannesburg",2010
Brazil , Croatia,3–1,"Arena de São Paulo, São Paulo",2014
Mexico , Cameroon,1–0,"Arena das Dunas, Natal",2014
Brazil , Mexico,0–0,"Estádio Castelão, Fortaleza",2014
Cameroon , Croatia,0–4,"Arena da Amazônia, Manaus",2014
Cameroon , Brazil,1–4,"Estádio Nacional Mané Garrincha, Brasília",2014
Croatia , Mexico,1–3,"Itaipava Arena Pernambuco, Recife",2014
Spain , Netherlands,1–5,"Itaipava Arena Fonte Nova, Salvador",2014
Chile , Australia,3–1,"Arena Pantanal, Cuiabá",2014
Australia , Netherlands,2–3,"Estádio Beira-Rio, Porto Alegre",2014
Spain , Chile,0–2,"Estádio do Maracanã, Rio de Janeiro",2014
Australia , Spain,0–3,"Arena da Baixada, Curitiba",2014
Netherlands , Chile,2–0,"Arena de São Paulo, São Paulo",2014
Colombia , Greece,3–0,"Estádio Mineirão, Belo Horizonte",2014
Ivory Coast , Japan,2–1,"Itaipava Arena Pernambuco, Recife",2014
Colombia , Ivory Coast,2–1,"Estádio Nacional Mané Garrincha, Brasília",2014
Japan , Greece,0–0,"Arena das Dunas, Natal",2014
Japan , Colombia,1–4,"Arena Pantanal, Cuiabá",2014
Greece , Ivory Coast,2–1,"Estádio Castelão, Fortaleza",2014
Uruguay , Costa Rica,1–3,"Estádio Castelão, Fortaleza",2014
England , Italy,1–2,"Arena da Amazônia, Manaus",2014
Uruguay , England,2–1,"Arena de São Paulo, São Paulo",2014
Italy , Costa Rica,0–1,"Itaipava Arena Pernambuco, Recife",2014
Italy , Uruguay,0–1,"Arena das Dunas, Natal",2014
Costa Rica , England,0–0,"Estádio Mineirão, Belo Horizonte",2014
Switzerland , Ecuador,2–1,"Estádio Nacional Mané Garrincha, Brasília",2014
France , Honduras,3–0,"Estádio Beira-Rio, Porto Alegre",2014
Switzerland , France,2–5,"Itaipava Arena Fonte Nova, Salvador",2014
Honduras , Ecuador,1–2,"Arena da Baixada, Curitiba",2014
Honduras , Switzerland,0–3,"Arena da Amazônia, Manaus",2014
Ecuador , France,0–0,"Estádio do Maracanã, Rio de Janeiro",2014
Argentina , Bosnia and Herzegovina,2–1,"Estádio do Maracanã, Rio de Janeiro",2014
Iran , Nigeria,0–0,"Arena da Baixada, Curitiba",2014
Argentina , Iran,1–0,"Estádio Mineirão, Belo Horizonte",2014
Nigeria , Bosnia and Herzegovina,1–0,"Arena Pantanal, Cuiabá",2014
Nigeria , Argentina,2–3,"Estádio Beira-Rio, Porto Alegre",2014
Bosnia and Herzegovina , Iran,3–1,"Itaipava Arena Fonte Nova, Salvador",2014
Germany , Portugal,4–0,"Itaipava Arena Fonte Nova, Salvador",2014
Ghana , United States,1–2,"Arena das Dunas, Natal",2014
Germany , Ghana,2–2,"Estádio Castelão, Fortaleza",2014
United States , Portugal,2–2,"Arena da Amazônia, Manaus",2014
United States , Germany,0–1,"Itaipava Arena Pernambuco, Recife",2014
Portugal , Ghana,2–1,"Estádio Nacional Mané Garrincha, Brasília",2014
Belgium , Algeria,2–1,"Estádio Mineirão, Belo Horizonte",2014
Russia , South Korea,1–1,"Arena Pantanal, Cuiabá",2014
Belgium , Russia,1–0,"Estádio do Maracanã, Rio de Janeiro",2014
South Korea , Algeria,2–4,"Estádio Beira-Rio, Porto Alegre",2014
South Korea , Belgium,0–1,"Arena de São Paulo, São Paulo",2014
Algeria , Russia,1–1,"Arena da Baixada, Curitiba",2014
Brazil , Chile,1–1 (a.e.t.),"Estádio Mineirão, Belo Horizonte",2014
Colombia , Uruguay,2–0,"Estádio do Maracanã, Rio de Janeiro",2014
Netherlands , Mexico,2–1,"Estádio Castelão, Fortaleza",2014
Costa Rica , Greece,1–1 (a.e.t.),"Itaipava Arena Pernambuco, Recife",2014
France , Nigeria,2–0,"Estádio Nacional Mané Garrincha, Brasília",2014
Germany , Algeria,2–1 (a.e.t.),"Estádio Beira-Rio, Porto Alegre",2014
Argentina , Switzerland,1–0 (a.e.t.),"Arena Corinthians, São Paulo",2014
Belgium , United States,2–1 (a.e.t.),"Itaipava Arena Fonte Nova, Salvador",2014
France , Germany,0–1,"Estádio do Maracanã, Rio de Janeiro",2014
Brazil , Colombia,2–1,"Estádio Castelão, Fortaleza",2014
Argentina , Belgium,1–0,"Estádio Nacional Mané Garrincha, Brasília",2014
Netherlands , Costa Rica,0–0 (a.e.t.),"Itaipava Arena Fonte Nova, Salvador",2014
Brazil , Germany,1–7,"Estádio Mineirão, Belo Horizonte",2014
Netherlands , Argentina,0–0 (a.e.t.),"Arena Corinthians, São Paulo",2014
Brazil , Netherlands,0–3,"Estádio Nacional Mané Garrincha, Brasília",2014
Germany , Argentina,1–0 (a.e.t.),"Maracanã Stadium, Rio de Janeiro",2014
Russia , Saudi Arabia,5–0,"Luzhniki Stadium, Moscow",2018
Egypt , Uruguay,0–1,"Central Stadium, Yekaterinburg",2018
Russia , Egypt,3–1,"Krestovsky Stadium, Saint Petersburg",2018
Uruguay , Saudi Arabia,1–0,"Rostov Arena, Rostov-on-Don",2018
Uruguay , Russia,3–0,"Cosmos Arena, Samara",2018
Saudi Arabia , Egypt,2–1,"Volgograd Arena, Volgograd",2018
Morocco , Iran,0–1,"Krestovsky Stadium, Saint Petersburg",2018
Portugal , Spain,3–3,"Fisht Olympic Stadium, Sochi",2018
Portugal , Morocco,1–0,"Luzhniki Stadium, Moscow",2018
Iran , Spain,0–1,"Kazan Arena, Kazan",2018
Iran , Portugal,1–1,"Mordovia Arena, Saransk",2018
Spain , Morocco,2–2,"Kaliningrad Stadium, Kaliningrad",2018
France , Australia,2–1,"Kazan Arena, Kazan",2018
Peru , Denmark,0–1,"Mordovia Arena, Saransk",2018
Denmark , Australia,1–1,"Cosmos Arena, Samara",2018
France , Peru,1–0,"Central Stadium, Yekaterinburg",2018
Denmark , France,0–0,"Luzhniki Stadium, Moscow",2018
Australia , Peru,0–2,"Fisht Olympic Stadium, Sochi",2018
Argentina , Iceland,1–1,"Otkritie Arena, Moscow",2018
Croatia , Nigeria,2–0,"Kaliningrad Stadium, Kaliningrad",2018
Argentina , Croatia,0–3,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
Nigeria , Iceland,2–0,"Volgograd Arena, Volgograd",2018
Nigeria , Argentina,1–2,"Krestovsky Stadium, Saint Petersburg",2018
Iceland , Croatia,1–2,"Rostov Arena, Rostov-on-Don",2018
Costa Rica , Serbia,0–1,"Cosmos Arena, Samara",2018
Brazil , Switzerland,1–1,"Rostov Arena, Rostov-on-Don",2018
Brazil , Costa Rica,2–0,"Krestovsky Stadium, Saint Petersburg",2018
Serbia , Switzerland,1–2,"Kaliningrad Stadium, Kaliningrad",2018
Serbia , Brazil,0–2,"Otkritie Arena, Moscow",2018
Switzerland , Costa Rica,2–2,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
Germany , Mexico,0–1,"Luzhniki Stadium, Moscow",2018
Sweden , South Korea,1–0,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
South Korea , Mexico,1–2,"Rostov Arena, Rostov-on-Don",2018
Germany , Sweden,2–1,"Fisht Olympic Stadium, Sochi",2018
South Korea , Germany,2–0,"Kazan Arena, Kazan",2018
Mexico , Sweden,0–3,"Central Stadium, Yekaterinburg",2018
Belgium , Panama,3–0,"Fisht Olympic Stadium, Sochi",2018
Tunisia , England,1–2,"Volgograd Arena, Volgograd",2018
Belgium , Tunisia,5–2,"Otkritie Arena, Moscow",2018
England , Panama,6–1,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
England , Belgium,0–1,"Kaliningrad Stadium, Kaliningrad",2018
Panama , Tunisia,1–2,"Mordovia Arena, Saransk",2018
Colombia , Japan,1–2,"Mordovia Arena, Saransk",2018
Poland , Senegal,1–2,"Otkritie Arena, Moscow",2018
Japan , Senegal,2–2,"Central Stadium, Yekaterinburg",2018
Poland , Colombia,0–3,"Kazan Arena, Kazan",2018
Japan , Poland,0–1,"Volgograd Arena, Volgograd",2018
Senegal , Colombia,0–1,"Cosmos Arena, Samara",2018
France , Argentina,4–3,"Kazan Arena, Kazan",2018
Uruguay , Portugal,2–1,"Fisht Olympic Stadium, Sochi",2018
Spain , Russia,1–1 (a.e.t.),"Luzhniki Stadium, Moscow",2018
Croatia , Denmark,1–1 (a.e.t.),"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
Brazil , Mexico,2–0,"Cosmos Arena, Samara",2018
Belgium , Japan,3–2,"Rostov Arena, Rostov-on-Don",2018
Sweden , Switzerland,1–0,"Krestovsky Stadium, Saint Petersburg",2018
Colombia , England,1–1 (a.e.t.),"Otkritie Arena, Moscow",2018
Uruguay , France,0–2,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
Brazil , Belgium,1–2,"Kazan Arena, Kazan",2018
Sweden , England,0–2,"Cosmos Arena, Samara",2018
Russia , Croatia,2–2 (a.e.t.),"Fisht Olympic Stadium, Sochi",2018
France , Belgium,1–0,"Krestovsky Stadium, Saint Petersburg",2018
Croatia , England,2–1 (a.e.t.),"Luzhniki Stadium, Moscow",2018
Belgium , England,2–0,"Krestovsky Stadium, Saint Petersburg",2018
France , Croatia,4–2,"Luzhniki Stadium, Moscow",2018
